//X Y Z R G B Nx Ny Nz
58.71149826 -51.57049942 8.38899994 71 55 255 0.000000 0.000000 0.000000
58.56275177 -52.07749939 9.11499977 70 56 255 0.000000 0.000000 0.000000
58.47375107 -52.10250092 9.20400047 70 57 255 0.000000 0.000000 0.000000
58.50825119 -52.02724838 9.23950005 70 56 255 0.000000 0.000000 0.000000
58.47150040 -52.04325104 9.25349998 70 56 255 0.000000 0.000000 0.000000
58.55474854 -51.90975189 9.03024960 70 56 255 0.000000 0.000000 0.000000
58.50749969 -51.96900177 9.10750008 70 56 255 0.000000 0.000000 0.000000
56.94324875 -53.01575089 8.20750046 66 60 255 0.000000 0.000000 0.000000
56.10974884 -52.63975143 8.10099983 66 61 255 0.000000 0.000000 0.000000
56.04724884 -52.68125153 8.13424969 66 61 255 0.000000 0.000000 0.000000
55.98699951 -52.56549835 8.27824974 66 61 255 0.000000 0.000000 0.000000
57.10749817 -53.09875107 8.73400021 67 60 255 0.000000 0.000000 0.000000
56.92399979 -52.99599838 8.31974983 66 60 255 0.000000 0.000000 0.000000
57.11624908 -54.05974960 9.00174999 65 61 255 0.000000 0.000000 0.000000
57.10350037 -54.04875183 8.95549965 65 61 255 0.000000 0.000000 0.000000
57.20800018 -54.02600098 9.01224995 65 61 255 0.000000 0.000000 0.000000
57.01300049 -54.00899887 9.01124954 65 61 255 0.000000 0.000000 0.000000
57.03475189 -53.98274994 9.02550030 65 61 255 0.000000 0.000000 0.000000
57.25600052 -53.90700150 8.96350002 66 61 255 0.000000 0.000000 0.000000
57.23025131 -53.94075012 9.01074982 65 61 255 0.000000 0.000000 0.000000
57.24174881 -53.89300156 9.00774956 66 61 255 0.000000 0.000000 0.000000
57.14775085 -53.92224884 9.03100014 65 61 255 0.000000 0.000000 0.000000
57.04299927 -53.65850067 8.99524975 66 61 255 0.000000 0.000000 0.000000
57.05125046 -54.04349899 9.10249996 65 61 255 0.000000 0.000000 0.000000
57.06349945 -53.94699860 9.12224960 65 61 255 0.000000 0.000000 0.000000
57.20724869 -53.85800171 9.13199997 66 61 255 0.000000 0.000000 0.000000
57.10699844 -53.88249969 9.10624981 65 61 255 0.000000 0.000000 0.000000
57.12025070 -53.72925186 9.09624958 66 61 255 0.000000 0.000000 0.000000
56.85824966 -54.03374863 9.07925034 65 62 255 0.000000 0.000000 0.000000
56.91350174 -53.97349930 9.09325027 65 62 255 0.000000 0.000000 0.000000
56.94599915 -54.00350189 9.13749981 65 62 255 0.000000 0.000000 0.000000
56.86149979 -54.03599930 9.12749958 65 62 255 0.000000 0.000000 0.000000
56.86149979 -53.98524857 9.16625023 65 62 255 0.000000 0.000000 0.000000
56.98099899 -53.93000031 9.13374996 65 61 255 0.000000 0.000000 0.000000
56.88349915 -53.88499832 9.12325001 65 61 255 0.000000 0.000000 0.000000
56.92449951 -54.04399872 9.22350025 65 62 255 0.000000 0.000000 0.000000
56.89699936 -54.06750107 9.22299957 65 62 255 0.000000 0.000000 0.000000
56.96625137 -53.96125031 9.21899986 65 61 255 0.000000 0.000000 0.000000
56.95824814 -53.78974915 9.10725021 65 61 255 0.000000 0.000000 0.000000
56.92824936 -53.65575027 9.11800003 65 61 255 0.000000 0.000000 0.000000
57.00624847 -53.62174988 9.12100029 66 61 255 0.000000 0.000000 0.000000
56.94900131 -53.56774902 9.15799999 66 61 255 0.000000 0.000000 0.000000
57.01425171 -53.62725067 9.24324989 66 61 255 0.000000 0.000000 0.000000
56.88275146 -53.67074966 9.20374966 65 61 255 0.000000 0.000000 0.000000
56.94400024 -53.61074829 9.20400047 66 61 255 0.000000 0.000000 0.000000
57.41675186 -53.33774948 8.87500000 67 60 255 0.000000 0.000000 0.000000
57.38574982 -53.30799866 8.91650009 67 60 255 0.000000 0.000000 0.000000
57.28699875 -53.26350021 8.80725002 67 60 255 0.000000 0.000000 0.000000
57.30324936 -53.23374939 8.81674957 67 60 255 0.000000 0.000000 0.000000
57.30950165 -53.23699951 8.95075035 67 60 255 0.000000 0.000000 0.000000
57.25225067 -53.22774887 9.00475025 67 60 255 0.000000 0.000000 0.000000
56.84899902 -53.58174896 9.14649963 65 61 255 0.000000 0.000000 0.000000
56.82875061 -53.62099838 9.15200043 65 61 255 0.000000 0.000000 0.000000
56.92750168 -53.42449951 9.29475021 66 61 255 0.000000 0.000000 0.000000
56.18175125 -53.78974915 8.86824989 64 62 255 0.000000 0.000000 0.000000
56.25975037 -53.25849915 8.76924992 65 61 255 0.000000 0.000000 0.000000
56.21149826 -53.25825119 8.80300045 65 61 255 0.000000 0.000000 0.000000
56.37250137 -52.92050171 8.53649998 66 61 255 0.000000 0.000000 0.000000
56.39250183 -52.83525085 8.54549980 66 61 255 0.000000 0.000000 0.000000
56.34175110 -52.89250183 8.48974991 66 61 255 0.000000 0.000000 0.000000
56.37149811 -52.75674820 8.52925014 66 60 255 0.000000 0.000000 0.000000
56.39799881 -53.16725159 8.66800022 65 61 255 0.000000 0.000000 0.000000
56.33349991 -53.05049896 8.56824970 66 61 255 0.000000 0.000000 0.000000
56.34650040 -53.22275162 8.71450043 65 61 255 0.000000 0.000000 0.000000
56.45500183 -52.99549866 8.63974953 66 61 255 0.000000 0.000000 0.000000
56.45925140 -52.89474869 8.67175007 66 61 255 0.000000 0.000000 0.000000
55.86949921 -52.57374954 8.31774998 66 61 255 0.000000 0.000000 0.000000
55.79574966 -52.55149841 8.36174965 66 61 255 0.000000 0.000000 0.000000
55.74100113 -52.55625153 8.43500042 65 61 255 0.000000 0.000000 0.000000
55.68149948 -52.55675125 8.50650024 65 61 255 0.000000 0.000000 0.000000
55.63475037 -52.61474991 8.55850029 65 61 255 0.000000 0.000000 0.000000
55.58475113 -52.73049927 8.58325005 65 62 255 0.000000 0.000000 0.000000
56.16899872 -53.33599854 8.93474960 65 62 255 0.000000 0.000000 0.000000
56.23450089 -52.90124893 9.07674980 66 61 255 0.000000 0.000000 0.000000
55.87450027 -53.05625153 9.04599953 65 62 255 0.000000 0.000000 0.000000
55.81525040 -53.10950089 9.06774998 65 62 255 0.000000 0.000000 0.000000
55.85774994 -53.08800125 9.12125015 65 62 255 0.000000 0.000000 0.000000
55.74674988 -53.04325104 9.14124966 65 62 255 0.000000 0.000000 0.000000
55.70199966 -52.94049835 9.13274956 65 62 255 0.000000 0.000000 0.000000
55.75049973 -52.98400116 9.27200031 65 62 255 0.000000 0.000000 0.000000
55.84899902 -52.74850082 9.11699963 65 61 255 0.000000 0.000000 0.000000
55.70449829 -52.61175156 9.18099976 65 61 255 0.000000 0.000000 0.000000
57.43024826 -52.10525131 7.61250019 69 58 255 0.000000 0.000000 0.000000
57.25949860 -52.16925049 7.71575022 68 58 255 0.000000 0.000000 0.000000
57.37274933 -52.16975021 7.66725016 68 58 255 0.000000 0.000000 0.000000
57.17174911 -52.25099945 7.75325012 68 59 255 0.000000 0.000000 0.000000
57.20225143 -52.22174835 7.73950005 68 58 255 0.000000 0.000000 0.000000
57.28224945 -52.73075104 7.85424995 67 59 255 0.000000 0.000000 0.000000
57.33824921 -52.72225189 7.85524988 67 59 255 0.000000 0.000000 0.000000
57.32600021 -52.65425110 7.84474993 68 59 255 0.000000 0.000000 0.000000
57.41799927 -52.63399887 7.79524994 68 59 255 0.000000 0.000000 0.000000
57.44374847 -52.59999847 7.78000021 68 59 255 0.000000 0.000000 0.000000
57.50000000 -52.22275162 7.89725018 68 58 255 0.000000 0.000000 0.000000
57.22574997 -52.67824936 7.89524984 67 59 255 0.000000 0.000000 0.000000
57.15674973 -52.78374863 8.00800037 67 59 255 0.000000 0.000000 0.000000
57.13824844 -52.87125015 8.07425022 67 60 255 0.000000 0.000000 0.000000
57.08824921 -52.93075180 8.15900040 67 60 255 0.000000 0.000000 0.000000
56.99800110 -52.96224976 8.22974968 67 60 255 0.000000 0.000000 0.000000
57.21025085 -52.22724915 7.85524988 68 58 255 0.000000 0.000000 0.000000
57.36275101 -52.15850067 7.82824993 68 58 255 0.000000 0.000000 0.000000
57.32600021 -52.12575150 7.78824997 68 58 255 0.000000 0.000000 0.000000
57.38199997 -52.27574921 7.98124981 68 58 255 0.000000 0.000000 0.000000
57.35725021 -52.15224838 7.90824986 68 58 255 0.000000 0.000000 0.000000
57.05825043 -52.20524979 7.79949999 68 59 255 0.000000 0.000000 0.000000
56.93024826 -52.24874878 7.82275009 68 59 255 0.000000 0.000000 0.000000
57.10900116 -52.18999863 7.99100018 68 59 255 0.000000 0.000000 0.000000
57.31375122 -52.31724930 8.07975006 68 58 255 0.000000 0.000000 0.000000
57.26525116 -52.33000183 8.09850025 68 59 255 0.000000 0.000000 0.000000
57.22275162 -52.34875107 8.15124989 68 59 255 0.000000 0.000000 0.000000
57.17124939 -52.40349960 8.17825031 68 59 255 0.000000 0.000000 0.000000
57.13199997 -52.42549896 8.25424957 68 59 255 0.000000 0.000000 0.000000
57.19900131 -52.32675171 8.18325043 68 59 255 0.000000 0.000000 0.000000
57.41025162 -52.30049896 8.02674961 68 58 255 0.000000 0.000000 0.000000
57.34600067 -52.13899994 8.07874966 68 58 255 0.000000 0.000000 0.000000
57.12174988 -52.25899887 8.05274963 68 59 255 0.000000 0.000000 0.000000
57.10900116 -52.28974915 8.13350010 68 59 255 0.000000 0.000000 0.000000
